BOM Level,Level,Row,Item,Component number,Object description,Quantity,Un,Ict,B,Price
"",..2,152,1440,E26VS692A006-01,CABLE MTC~SPINDLE TB,1,EA,L,,
"",..2,153,1450,E26VS692A100-01,CABLE SVM-X ~ MOT-X (PWR),1,EA,L,,
"",..2,154,1460,E26VS692A101-01,CABLE MTC ~ X AXIS SERVO MTR(ENC),1,EA,L,,
"",..2,155,1470,E26VS692A200-01,CABLE SVM-Y ~ MOT-Y (PWR),1,EA,L,,
"",..2,156,1480,E26VS692A201-01,CABLE MTC ~ Y AXIS SERVO MTR(ENC),1,EA,L,,
"",..2,157,1490,E26VS692A300-01,CABLES SVM-Z ~ MOT-Z (PWR),1,EA,L,,
"",..2,158,1500,E26VS692A301-01,CABLE MTC ~ Z AXIS SERVO MTR(ENC),1,EA,L,,
"",..2,159,1510,E26VS692A302-02,CABLE RL.PCB (XG1)~MOT-Z (BRK),1,EA,L,,
"",..2,160,1520,E26VS692A404-06,CABLE PCB ~ ATC PANEL (MP94)/PB,1,EA,L,,
"",..2,161,1530,E26VS692A406-02,CABLE MTC~ATC MAG MTR(ENC),1,EA,L,,
"",..2,162,1540,E26VS692A416-04,CABLE RL.PCB/OPT.PCB ~ ATC.TB,1,EA,L,,
"",..2,163,1550,E26VS692A417-02,CABLE MSIV ~ ATC. TB,1,EA,L,,
"",..2,164,1560,E26VS692A420-02,CABLE RL.PCB(XD4) ~MP113,1,EA,L,,
"",..2,165,1570,E26VS692A501-02,CABLE MS4~ AIR/FLUID PANEL,1,EA,L,,
"",..2,166,1580,E26VS692A511-03,CABLE MTC ~ FLUID PANEL 1 (M12 JB),1,EA,L,,
"",..2,167,1590,E26VS692A512-03,CABLE MTC ~ FLUID PANEL 2 (M12 JB),1,EA,L,,
"",..2,168,1600,E26VS692A903-02,CABLE OP.PCB(XMP370A)~RL.PCB(XC1),1,EA,L,,
"",..2,169,1610,E26VS692A904-04,CABLE OP.IOM11(JD1B) ~ MTC(JD1A),1,EA,L,,
"",..2,170,1620,E26VS692A905-02,CABLE OP.CPD27~MTC TB30,1,EA,L,,
"",..2,171,1630,E26VS692A906-00,CABLE MTC(RJ45)~OP.PNL(CD38A),1,EA,L,,
"",..2,172,1640,E26VS692A602-06,CABLE MTC ~ 20K OILMATIC,1,EA,L,,
"",..2,173,1650,23VS120A453-00,"NAME PLATE,PRO 6",1,EA,L,,
"",..2,174,1660,21VS696A441-00,"BRACKET, SPONGE BOTTOM",2,EA,L,,
BOM Level,Level,Row,Item,Component number,Object description,Quantity,Un,Ict,B,Price
"",..2,175,1670,18VS696A712-00,"SPONGE, MTC BOTTOM",2,EA,L,,
"",..2,176,1680,Z271B1108016,SOC HD CAP SCR M8X16,4,EA,L,1,
"",..2,177,1690,Z275A3100800,"WASHER (MS), M8 (OD18MM)",4,EA,L,1,
"",..2,178,2000,26VS691A-01.8,"MTC VD_OP PANEL, PRO6 (V26/V27)",1,SET,L,,
"",...3,179,10,Z271B1106020,SOC HD CAP SCR M6X20,3,EA,L,1,
"",...3,180,20,Z275A3100600,WASHER M6,3,EA,L,1,
"",...3,181,30,26VS691A205-02,"SUPPORT, OP, UPPER",1,EA,L,,
"",...3,182,40,Z271B1105016,SOC HD CAP SCR M5X16,4,EA,L,1,
"",...3,183,50,Z271B1108025,SOC HD CAP SCR M8X25,1,EA,L,1,
"",...3,184,60,1CD025A-03.2,"MTC VD_OP, PRO6, MECHANICAL",1,SET,L,,
"",....4,185,10,26VS691A052-02,"BOX, OP PANEL",1,EA,L,,
"",....4,186,20,26VS691A203-00,"COVER, OP",1,EA,L,,
"",....4,187,30,Z271R1106012,TRUSS HD CROSS REC SCR M6X12,6,EA,L,1,
"",....4,188,40,Z295P6101500,SEALING GASKET C-300-EF-10-15 L=2m (TAKI,0.87,M,L,,
"",....4,189,50,Z295P6101500,SEALING GASKET C-300-EF-10-15 L=2m (TAKI,0.87,M,L,,
"",....4,190,60,Z295P6101500,SEALING GASKET C-300-EF-10-15 L=2m (TAKI,0.43,M,L,,
"",....4,191,70,Z295P6101500,SEALING GASKET C-300-EF-10-15 L=2m (TAKI,0.43,M,L,,
"",....4,192,80,Z295C0030102,"RUBBER LEGS, ECRK15",2,EA,L,,
"",....4,193,90,Z271B1103010,SOC HD CAP SCR M3X10,2,EA,L,1,
"",....4,194,100,23VS691A408-01,"LINE, SEPARATOR",1,EA,L,,
"",....4,195,110,Z271B1104008,SOC HD CAP SCR M4X8,2,EA,L,1,
"",....4,196,120,23VS691A407-00,"GUIDE, DUCT",1,EA,L,,
"",....4,197,130,23VS691A404-00,GASKET,1,EA,L,,
"",....4,198,140,Z271B1104010,SOC HD CAP SCR M4X10,6,EA,L,1,
"",....4,199,150,23VS691A405-00,"SWIVEL, OP",1,EA,L,,
"",....4,200,160,23VS691A402-00,WASHER,2,EA,L,,
"",....4,201,170,23VS691A406-00,"COVER, HOLE, OP",1,EA,L,,
"",....4,202,180,Z271B1104010,SOC HD CAP SCR M4X10,6,EA,L,1,
"",....4,203,190,23VS691A404-00,GASKET,1,EA,L,,
"",....4,204,200,Z271B1108016,SOC HD CAP SCR M8X16,1,EA,L,1,
"",....4,205,210,Z275N0119248,"WASHER, WSSB13-8-4 (MISUMI)",1,EA,L,,
"",....4,206,220,23VS691A403-00,PLATE,1,EA,L,,
"",....4,207,230,Z392J3725122,WASHER WSSB25-12-2 (MISUMI),2,EA,L,,
"",....4,208,240,Z274A1112000,"NUT,HEX M12",2,EA,L,1,
"",....4,209,250,26VS691A413-00,"BRACKET, DIN RAIL",1,EA,L,,
"",....4,210,260,Z271R7005010,TRUSS HD SCR M5X10 (STAINLESS),4,EA,L,1,
"",....4,211,270,23VS691A410-00,"PLATE, EARTH BAR",1,EA,L,,
"",....4,212,280,Z274A7005000,"NUT, HEX M5 (STAINLESS)",1,EA,L,1,
"",..2,213,2010,1CD15A-01.1,MTC VD_PORTABLE MPG,1,SET,L,,
"",...3,214,10,Z318R0001300,P-MPG HBA-119782 EUCHNER,1,EA,L,,
"",..2,215,2020,1CD024A-01.3,MTC VD_MTC SHEET METAL COMMON,1,SET,L,,
"",...3,216,10,21VS696A059-02,"CHASIS, MAIN, LOWER",1,EA,L,,
"",...3,217,20,Z271B1106008,SOC HD CAP SCR M6X8,7,EA,L,1,
"",...3,218,30,Z271B7005012,SOC HD CAP SCR M5X12(STAINLESS,2,EA,L,1,
"",...3,219,40,Z275A7000500,WASHER M5 (STAINLESS),2,EA,L,1,
"",...3,220,50,21VS696A442-00,"PLATE, HINGE RH",1,EA,L,,
"",...3,221,60,Z271B1106016,SOC HD CAP SCR M6X16,3,EA,L,1,
"",...3,222,70,Z275N0211010,DIN WASHER DIN6340-6.5,3,EA,L,1,
"",...3,223,80,21VS696A438-00,"PLATE, HINGE",1,EA,L,,
"",...3,224,90,Z271B1106016,SOC HD CAP SCR M6X16,3,EA,L,1,
"",...3,225,100,Z275N0211010,DIN WASHER DIN6340-6.5,3,EA,L,1,
"",...3,226,110,21VS696A445-00,"PLATE, HINGE BOTTOM",2,EA,L,,
"",...3,227,120,Z271B1106016,SOC HD CAP SCR M6X16,6,EA,L,1,
"",...3,228,130,Z275N0211010,DIN WASHER DIN6340-6.5,6,EA,L,1,
"",...3,229,140,Z271B1108020,SOC HD CAP SCR M8X20,4,EA,L,1,
"",...3,230,150,21VS696A443-00,"STOPPER, RH DOOR TOP",1,EA,L,,
"",...3,231,160,Z271B1106010,SOC HD CAP SCR M6X10,2,EA,L,1,
"",...3,232,170,21VS696A440-00,"STOPPER, LH DOOR TOP",1,EA,L,,
BOM Level,Level,Row,Item,Component number,Object description,Quantity,Un,Ict,B,Price
"",...3,233,180,Z271B1105010,SOC HD CAP SCR M5X10,2,EA,L,1,
"",...3,234,190,Z295C0030106,RUBBER LEG C-30-RK-20,2,EA,L,,
"",...3,235,200,Z271B1104008,SOC HD CAP SCR M4X8,2,EA,L,1,
"",...3,236,210,18VS696A715-00,"SPONGE, DOUBLE DOOR",2,EA,L,,
"",...3,237,220,Z293Y0090030,SWING HANDLE LOCK (DIRAK),1,EA,L,,
"",...3,238,230,Z295C0030748,GROMMET C-30-SG-48A,3,EA,L,,
"",...3,239,240,Z274A7005000,"NUT, HEX M5 (STAINLESS)",4,EA,L,1,
"",...3,240,250,21VS696A402-02,"BAR, EARTH",1,EA,L,,
"",...3,241,260,21VS696A216-01,"FILTER, AIR",1,EA,L,,
"",...3,242,270,21VS696A420-01,"BAR, EARTH(3)",1,EA,L,,
"",..2,243,2030,1CD024A-03=4,MTC VD_OPTION SWING PANEL (VBMTC),1,SET,L,,
"",...3,244,20,Z295B0002101,"HINGE,B-2A-11(TAKIGEN)",3,EA,L,,
"",...3,245,30,Z271M1105008,FLAT HD-CROSS REC SCR M5X8,9,EA,L,1,
"",...3,246,40,Z271B1105008,SOC HD CAP SCR M5X8,6,EA,L,1,
"",...3,247,50,Z275A3100500,WASHER M5,6,EA,L,1,
"",...3,248,60,21VS696A436-02,"BRACKET, SUPPORT FRT SW PANEL",1,EA,L,,
"",...3,249,70,21VS696A315-00,"BRACKET, LOCK SUPPORT",1,EA,L,,
"",...3,250,80,Z271B7005012,SOC HD CAP SCR M5X12(STAINLESS,4,EA,L,1,
"",...3,251,90,Z275A7000500,WASHER M5 (STAINLESS),4,EA,L,1,
"",...3,252,100,Z295C1007200,"HOOK,CATCH LOCK",2,EA,L,,
"",...3,253,110,Z271R7003008,TRUSS HD SCR M3X8 (SUS),4,EA,L,1,
"",...3,254,120,Z275S0600002,"RETAINING WASHER, CP-29-PA-2 (1PK-100EA)",1,EA,L,,
"",...3,255,130,L34A193,CABLE DUCT 60Wx100H 3240263,1,M,L,,
"",...3,256,140,L34A194,CABLE DUCT 40Wx100H 3240294,1.3,M,L,,
"",...3,257,150,L15C073,"CARRIER RAIL 210-112,35X7.5MM,WAGO",1,M,L,1,
"",...3,258,160,Z271J9504006,PAN HD SCR M4X6 WITH WASHER,9,EA,L,1,
"",...3,259,170,Z271J9504006,PAN HD SCR M4X6 WITH WASHER,9,EA,L,1,
"",...3,260,180,Z271M7003008,FLAT HD SCR M3X8 (SUS),4,EA,L,1,
"",...3,261,190,Z295Z-0001,"HANDLE, DISH(213-0702.3-DIRAK)",1,EA,L,,
"",...3,262,200,Z381S0201001,209-0802 L50M (DIRAK) Ref:Z381Z-0005-00,0.3,M,L,1,
"",...3,263,210,Z381S0201001,209-0802 L50M (DIRAK) Ref:Z381Z-0005-00,0.3,M,L,1,
"",...3,264,220,21VS696A108-04,"CHASIS, SWING, SBC",1,EA,L,,
"",..2,265,2040,1CD024A-09.0,4 PIN HARTING ADAPTER SEAS,12,SET,L,,
"",...3,266,10,21VS696A446-00,"COVER, HARTING(4 POLES)",12,EA,L,,
"",...3,267,20,Z271R1103006,TRUSS HD-CROSS REC SCR M3X6,24,EA,L,1,
"",..2,268,2050,1CD024A-11=3,MTC VD_ SHEET METAL COMMON (FANUC),1,SET,L,,
"",...3,269,10,21VS696A061-03,"CABINET, MTC",1,EA,L,,
"",...3,270,20,Z271B1112020,SOC HD CAP SCR M12X20,2,EA,L,1,
"",...3,271,30,21VS696A058-02,"CHASIS, MAIN,UPPER",1,EA,L,,
"",...3,272,40,Z271B1106008,SOC HD CAP SCR M6X8,7,EA,L,1,
"",...3,273,50,21VS696A227-01,"PLATE, SHIELDING",1,EA,L,,
"",...3,274,60,Z271B1105008,SOC HD CAP SCR M5X8,3,EA,L,1,
"",...3,275,70,21VS696A062-00,"DOOR, LH",1,EA,L,,
"",...3,276,80,21VS696A226-01,"BRACKET, CABLE",1,EA,L,,
"",...3,277,90,Z271B1106008,SOC HD CAP SCR M6X8,2,EA,L,1,
"",...3,278,100,21VS696A444-00,"COVER, VENTILATION",1,EA,L,,
"",...3,279,110,Z271R1104006,TRUSS HD CROSS REC SCR M4X6,6,EA,L,1,
"",...3,280,120,Z295C0030738,GROMET C-30-SG-38A (TAKIGEN),1,EA,L,,
"",...3,281,130,Z696A0300300,"CONDUCTIVE TAPE, CCT~25~C(20M)",6,M,L,1,
"",...3,282,140,Z696A0300300,"CONDUCTIVE TAPE, CCT~25~C(20M)",5,M,L,1,
"",..2,283,2060,1CD024A-14.0,MTC VD_HEATSINK COVER,1,SET,L,,
"",...3,284,10,21VS696A229-00,"COVER, HEATSINK, HOLE",1,EA,L,,
"",...3,285,20,Z271B1105008,SOC HD CAP SCR M5X8,8,EA,L,1,
"",..2,286,2070,1CD024A-16.0,MTC VD_CABLE OUTLET BRACKET,3,SET,L,,
"",...3,287,10,21VS696A230-00,"BRACKET, SPONGE, UPPER",3,EA,L,,
"",...3,288,20,Z271B1106010,SOC HD CAP SCR M6X10,6,EA,L,1,
"",...3,289,30,Z275A3100600,WASHER M6,6,EA,L,1,
"",...3,290,40,21VS696A231-00,"BRACKET, SPONGE, LOWER",3,EA,L,,
BOM Level,Level,Row,Item,Component number,Object description,Quantity,Un,Ict,B,Price
"",...3,291,50,Z271B1106010,SOC HD CAP SCR M6X10,6,EA,L,1,
"",...3,292,60,Z275A3100600,WASHER M6,6,EA,L,1,
"",...3,293,70,18VS696B412-00,SPONGE,3,EA,L,,
"",...3,294,80,18VS696B412-00,SPONGE,3,EA,L,,
"",..2,295,2080,1CD024A-70.0,MTC VD_MTC SEALING FASTENERS,1,SET,L,,
"",...3,296,10,Z272A1105008,"SET-SCREW, FLAT PT M5X8",6,EA,L,1,
"",...3,297,20,Z272A1106008,"SET-SCREW, FLAT PT M6X8",16,EA,L,1,
"",...3,298,30,Z272A1108012,"SET-SCREW, FLAT PT M8X12",16,EA,L,1,
"",..2,299,2090,1CD014A-73,FERRITE CORE,1,EA,L,,
"",...3,300,10,Z733C0020010,FERRITE CORE NIKKOU E2530MRC**,2,EA,L,,
"",..2,301,2100,26VS690A-04.0,MTC VD_ATC60 ELECTRICAL ITEMS,1,SET,L,,
"",...3,302,10,E26VS692A407-01,CABLE SVM-C~MOT-C ATC60 (PWR),1,EA,L,,
"",..2,303,2110,26VS690A-01.1,MTC VD_20K ELECTRICAL ITEMS (F3F5),1,SET,L,,
"",...3,304,10,E26VS612A001-01,CBL MTC~SP.HEAD TER BOX(20K),1,EA,L,,
"",0.1,305,30,Z532R0010016,"RIGHT OP PANEL A, ZY1C-SS3990-1E-B",1,EA,L,,
"",0.1,306,40,Z532R0010010,"RIGHT OP PANEL B,ZY1C-SS3990-3E",1,EA,L,,
"",0.1,307,50,Z291J0025000,"DISK SPRING, TS-25 (DAIDO PRECISION)",4,EA,L,,
